baseline_start_s,response_window_s,temporal_summary,roi_aggregation,cohort,paired_slice_count,common_scale_mean_effect,common_scale_median_effect,common_scale_positive_slices,within_roi_z_mean_effect,within_roi_z_median_effect,within_roi_z_positive_slices
60,30,median,median,post_low_histamine_2025,7,4.049642997,1.096768244,6,6.059749851,1.233356222,4
60,45,mean,mean,post_low_histamine_2025,7,4.100666839,1.693874885,5,5.696816995,1.931323741,5
60,45,mean,median,post_low_histamine_2025,7,3.302656171,0.7067625582,4,5.129065936,0.5646366346,4
60,45,median,mean,post_low_histamine_2025,7,3.856679702,1.568680424,5,5.503629907,1.789703128,4
60,45,median,median,post_low_histamine_2025,7,3.127684819,0.7419398354,5,4.328875719,-0.5895638707,3
70,15,mean,mean,post_low_histamine_2025,7,3.638119078,1.851089728,6,4.371146574,1.749182512,4
70,15,mean,median,post_low_histamine_2025,7,3.339024362,1.484230056,5,4.724852059,1.95757175,5
70,15,median,mean,post_low_histamine_2025,7,4.061965128,2.291843525,6,4.87847636,2.138958954,4
70,15,median,median,post_low_histamine_2025,7,3.212259006,1.522152933,6,4.441933006,1.992380311,5
70,30,mean,mean,post_low_histamine_2025,7,4.086314592,1.847387255,6,5.024133298,1.700023715,4
70,30,mean,median,post_low_histamine_2025,7,3.237128333,1.11078078,5,5.093884608,1.327066696,4
70,30,median,mean,post_low_histamine_2025,7,4.519426794,1.838025437,5,5.657666679,1.695140943,4
70,30,median,median,post_low_histamine_2025,7,3.558746297,1.016436254,6,5.458939036,1.268005255,5
70,45,mean,mean,post_low_histamine_2025,7,3.64756416,1.679024105,5,4.602894196,1.537229611,4
70,45,mean,median,post_low_histamine_2025,7,2.900922233,0.6549962502,4,4.526617441,1.216788733,5
70,45,median,mean,post_low_histamine_2025,7,3.432380804,1.554927267,5,4.451679285,1.416973992,4
70,45,median,median,post_low_histamine_2025,7,2.723819326,0.5707229503,5,4.005609735,0.415364475,4
