source_file_id,source_file,source_sha256,cohort,slice_id,genotype,roi_id,onset_index,sampling_rate_hz,n_frames,area_pixels,fluorescence_offset,baseline_f0,raw_baseline_median,baseline_method,auc_window_nominal_s,auc_samples_per_window,auc_effective_duration_s,pre_auc,post_auc,delta_auc,raw_median_shift,baseline_mad_scale,robust_z_shift,orthogonal_issue
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_032225_slice4_20X_zm1_GCaMP,WT,WT2,115,0.71,213,147.71,100000,68929.08,-31070.92,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.01023587281,0.4481548486,0.4583907214,1209.12,307.313328,3.934486044,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_032225_slice4_20X_zm1_GCaMP,WT,WT3,115,0.71,213,381.27,100000,69251.29,-30748.71,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.0554280619,0.2812207745,0.3366488364,839.84,322.450674,2.604553402,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_032225_slice4_20X_zm1_GCaMP,WT,WT4,115,0.71,213,108.47,100000,69007.96,-30992.04,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.07465560474,0.03780723267,0.1124628374,223.47,278.995668,0.8009801787,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_032225_slice4_20X_zm1_GCaMP,WT,WT5,115,0.71,213,109.83,100000,68829.115,-31170.885,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.04801215013,0.1042253621,0.1522375123,476.23,301.360689,1.580265832,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,KO,KO1,105,0.71,214,198.81,100000,70059.425,-29940.575,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.0864048175,2.080074306,2.166479124,5659.61,227.534622,24.87362121,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,KO,KO2,105,0.71,214,168.15,100000,70011.145,-29988.855,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.01413597873,1.17684603,1.190982008,3032.41,338.559123,8.956810772,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,KO,KO3,105,0.71,214,207.8,100000,69914.13,-30085.87,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.05595445502,0.8677746726,0.9237291276,2286.17,256.964232,8.896841332,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,KO,KO4,105,0.71,214,153.02,100000,69744.12,-30255.88,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.03649164209,0.5945419172,0.6310335593,1620.36,262.427613,6.174502681,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,KO,KO5,105,0.71,214,146.62,100000,70114.735,-29885.265,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.07028740961,0.8857172602,0.9560046698,2505.24,294.970683,8.493183033,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,KO,KO6,105,0.71,214,261.22,100000,69983.83,-30016.17,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.07214423071,1.325536682,1.397680913,3859.59,239.906919,16.08786448,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,WT,WT1,105,0.71,214,248.68,100000,70926.915,-29073.085,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.08484065486,-0.1379281321,-0.05308747724,-242.97,299.915154,-0.8101291207,
